,Album,Title,Lyrics,Language
0,Into Gay Pride Ride,16. Karkagnor's Song - In The Forest,"
Out in the forest, on the grass I lay
Reading a volume I bought on eBay
The pages are dusty, yellow and old
Mystical secrets I'm starting to unfold

Warmth, wisdom, gaudium and bliss
A trickle of glory springs like the dog piss
Shower of gold, non sparkling beverage
The low rate of carbohydrates makes me bold...

Aaahhh Aaahhh Aaahhh
Delizia, primizia, malizia
Peperlizia, egizia, immondizia
Aaahhh Aaahhh Aaahhh
Patrizia, sevizia, letizia
Giudizia, Yakuzia, Pomezia

Page after page, line after line
Delicious taste, excrement of a swine
Darky and brown, creamy consistence
Enters my mouth, I oppose no resistance

Oh Oh Oh
Gentile, robusto e fruttato
Prelibato e gustoso al palato
Oh Oh Oh
Caramella, fruittella, Graziella
Mozzarella, nutella, Scaramella

Blessed be, Karkagnor, with no other term
Who forged yummy dishes, but flavoured like sperm
Blessed be, Karkagnor, the almighty cook
It makes my mouth water, the sight of his book

But now, what I see? Cholesterol, lipids in me!
Monosaccharides, polysaccharides,
I'm still longing for thee!
Proteinic support is now starting to flee - this is hell!
",en
1,Into Gay Pride Ride,15. Karkagnor's Song - The Hobbit,"

",unknown
2,Into Gay Pride Ride,14. RAP-sody,"
I crossed the valleys the dust of midlands
to search for the third key to open the gates
Now I'm near the altar the secret inside
as legend told my beloved sun light the dragon's eyes

On the way to the glory I'll honor my sword
to serve right ideals and justice for all

For the king for the land for the mountains
for the green valleys where dragons fly
for the glory the power to win the black lord
I will search for the emerald sword

Only a warrior with a clear heart
could have the honour to be kissed by the sun
Yes I am that warrior I followed my way
Led by the force of cosmic souls I can reach the sword

In a long bloody battle that prophecies told
the light will prevail hence wisdom is gold

For the king for the land for the mountains
for the green valleys where dragons fly
for the glory the power to win the black lord
I will search for the emerald sword

",en
3,Into Gay Pride Ride,13. Lamento Erotico,"
Langue in me, l'audace desio
Di soggiacer nelle regali stanze
Per donar, colà l'augello mio
A colei che fa vivaci danze

Le movenze sue, seppur sì caste
Svegliaron in me l'antico ardore
Che in lunghe notti pederaste
Celai dentro di me con gran dolore

[Bridge:]
Vi canto amici miei, un'epica pornografia
Dello signore mio e della sua compagnia

[Chorus:]
Non vuol piu esser pederasta, e così sia!

Giovani rampolli mai mancarono
Per estati e inverni, giorni e notti
Il talamo mio ei visitarono
Per gioir di flompini e sdrufolotti

Tal imprese oramai son di passati
E li guardo ancor con gran disdegno
Troppi in me si son avventurati
Lo retro mio è carne mica legno!

[Bridge:]
Vi canto amici miei, un'epica pornografia
Dello signore mio e della sua compagnia

[Chorus:]
Gli amanti l'han consumato, ma ha preso un'altra via

Guardo la mia amata e le sorrido
Porgendo la mia man da cavaliere
Con un gemito risponde, forse un grido
E la lecca, con sommo mio piacere

La distendo sul mio letto, l'accarezzo
Contropelo, senza fretta
Slaccio il collar suo, un gran bel pezzo
Che gioia far l'amor con la cagnetta!

[Bridge:]
Vi canto amici miei, un'epica pornografia
Dello signore mio e della sua compagnia

[Chorus:]
L'amor suo è sbocciato, si da alla zoofilia!

",it
4,Into Gay Pride Ride,12. 1 vs 100,"

",unknown
5,Into Gay Pride Ride,11. Look At Two Reels,"
Sit down all you little children
Listen well to me
I'll tell of Blind Guardian
Dragonforce and Rhapsody

To listen to their songs
You need to know a lot of things
And read at least seventy times
The ""Lord Of The Rings""

This maybe sounds too long
For you child to be done
But don't be afraid my little children
Go and take your helm

No, this won't sound too long
Pay attention now my son
'Cos Nanowar will drive you across
The whole enchanted realm

Let's talk about the elf
Where does he live? Where does he live?
He lives inside the green of
Luca Tour Hill Luca Tour Hill

He mows the enchanted lawn
Drying his hair with the phon
Singing all day long
His homosexual elvish song:

[Bridge:]
""I've got it very long
I've got it very strong
I'm going to stick my dick
Between Looca Tour Illy's cheeks""

He stuck inside his bed
To do what can't be told
But we can sing together
The homosexual elvish call

[Chorus:]
HAIL! Elf! Elf! Elf!

And what about the Dwarf
Where does he live? Where does he live?
He dwells inside the bath of
Lou-Ka Tu-Ril, Lou-Ka Tu-Ril!

He cuts the enchanted wood
And the dick of Robin Hood
Singing very rude
In a bald and dwarfish mood:

[Bridge:]
""I've got it very long
I've got it very strong
I'm going to smash my mace
Into Luka Turillee's face""

He went behind his back
And pointed at his neck
What happened you may guess
It's time to sing our song at last

[Chorus:]
HAIL! Dwarf! Dwarf! Dwarf!

It's time to call the Orc
Where does he live? Where does he live?
He lives inside the sock
Of Luca Tureell, Luca Tureell

A mage with a great spell
Tried to stop his haunting smell
No Orc, as you would tell
It's Tour-hill who's dirt like hell

[Bridge:]
""I've got it very long
I've got it very strong
I'm going to use my bats
To squash Looma Tupilli's guts""

He waited in his room
For Numa Pompili's doom
He'll wish not to be born
At the sound of Orcish Horn!!

[Chorus:]
HAIL! Orc! Orc! Orc!

",en
6,Into Gay Pride Ride,10. The Forest Of Magniaccons,"
Ma che ce frega
Ma che ce 'mporta
Se l'oste ar vino c'ha messo l'acqua
E noi je dimo, e noi je famo
C'hai messo l'acqua e nun te pagamo
Ma però

Noi semo quelli
Che j'arisponnemo in coro
E' mejo er vino, de li castelli
De questa zozza società

Ce piaciono li polli
L'abbacchio e le galline
Perché so senza spine e nun so come er baccalà

La società dei magnaccioni
La società della gioventù
A noi ce piace, de magnà e beve
E nun ce piace da lavorà

Oste...
Portace n'artro litro
Che noi se lo bevemo
E poi j'arisponnemo
Embè? Embè? Che c'è?

E quanno er vino 'mbè
C'ariva ar gozzo 'mbè
Ar gargarozzo 'mbè
Je fa 'n ficozzo 'mè
Pe' falla corta, pe' falla breve
Mio caro oste portace da beve!

",it
7,Into Gay Pride Ride,9. Surprise Love,"
Surprise love, the first day that I found you
I knew you had something more than other girls

Surprise love, there's a hole inside of me
And you filled it up with such a special gift

Surprise love, there's a strong feeling between us
I can sense it pushing hard through my body

Surprise love, I still feel your warm embrace
If I turn around and leave you right behind me

[Chorus:]
You know that love is a big deal
And leaves inside wounds that you can't heal
Think about love, forget the rest
And nevermind those black hairs on her breast.
And never fear huge bulge emerging, right under her belt...
'Cause it's Surprise Love!

Surprise love, everyday you let me see
A side of you I've never seen before

Surprise love, everytime you come to me
You enter in my home from the backdoor

Surprise love, I'm the king and you're my queen
But the scepter's in your hand and not in mine

Surprise load, is what I found between your legs
A bald chicken, a black nest, with two big eggs...

[Chorus:]
You know that love is a big deal
And leaves inside wounds that you can't heal
Think about love, forget the rest
And nevermind those black hairs on her breast
And nevermind the chicken in his nest
And never fear huge bulge emerging, right under her belt...
'Cause it's Surprise Love!

[Intermezzo:]
A missile's gonna strike you
A torpedo's comin' near to sink you down

An arrow embedded in your heart
And a big flesh rod implanted in your ass...
So don't be afraid!

Surprise load, is what I found between your legs
A bald chicken, a black nest, with two big eggs...

[Chorus:]
You know a car needs gasoline
And in the same way love needs vaseline
Think about love, forget the rest
And nevermind those black hairs on her breast
And nevermind the chicken in his nest
And never fear huge bulge emerging, right under her belt...
'Cause it's Surprise Love!

",en
8,Into Gay Pride Ride,8. Radio Grafia #2,"

",unknown
9,Into Gay Pride Ride,7. Odino & Valhalla,,unknown
